Any,Núm. Mes,Mes,Regió Policial (RP),Àrea Bàsica Policial (ABP),Província,Comarca,Municipi,Tipus de lloc dels fets,Canal dels fets,Tipus de fet,Títol del fet (Codi Penal) o Llei de referència,Tipus de fet (Codi penal) o d'Infracció (altres lleis),Àmbit fet,Nombre fets o infraccions,Nombre víctimes
2020,8,Agost,RP Metropolitana Sud,ABP Sant Boi de Llobregat,Barcelona,Baix Llobregat,Sant Boi de Llobregat,Partit polític,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys (lleu),Orientació política,1,1
2020,8,Agost,RP Girona,ABP Gironès - Pla de l'Estany,Girona,Gironès,Salt,Pàrquing públic,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb violència i/o intimidació,LGTBI-fòbia,1,1
2020,8,Agost,RP Camp de Tarragona,ABP Baix Penedès,Tarragona,Baix Penedès,"Vendrell, el",Via pública urbana,Presencial,Delictes,Delictes contra la llibertat,Amenaces (lleu),"Ètnic, origen nacional i/o racial",1,2
2020,8,Agost,RP Metropolitana Sud,ABP l'Hospitalet de Llobregat,Barcelona,Barcelonès,"Hospitalet de Llobregat, l'",Via pública urbana,Presencial,Delictes,De les lesions,Lesions (lleu),LGTBI-fòbia,1,1
2020,8,Agost,RP Metropolitana Barcelona,ABP Nou Barris,Barcelona,Barcelonès,Barcelona,Via pública urbana,Presencial,Delictes,Delictes contra la llibertat,Amenaces,LGTBI-fòbia,1,2
2020,8,Agost,RP  Metropolitana Nord,ABP Mollet del Vallès,Barcelona,Vallès Oriental,Mollet del Vallès,Habitatge - Primera residència - Casa aïllada,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",1,2
2020,8,Agost,RP Camp de Tarragona,ABP Baix Penedès,Tarragona,Baix Penedès,Calafell,Biblioteca,Presencial,Delictes,Delictes contra la llibertat,Amenaces (lleu),"Ètnic, origen nacional i/o racial",1,1
2020,8,Agost,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Transport públic - Metro - Estació,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,Orientació política,1,3
2020,8,Agost,RP Central,ABP Osona,Barcelona,Osona,Resta de municipis ABP Osona,Habitatge - Primera residència - Casa aïllada,Internet o xarxes socials,Delictes,Delictes contra la llibertat,Amenaces (lleu),LGTBI-fòbia,1,1
2020,8,Agost,RP Camp de Tarragona,ABP Baix Penedès,Tarragona,Baix Penedès,"Vendrell, el",Via pública urbana,Presencial,Delictes,Delictes contra la llibertat,Amenaces (lleu),Orientació política,1,1
2020,8,Agost,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,Lleida,Segrià,Lleida,Habitatge - Primera residència - Casa adossada,Internet o xarxes socials,Delictes,"Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili",Descobriment i revelació de secrets,LGTBI-fòbia,1,1
2020,8,Agost,RP Pirineu Occidental,ABP Cerdanya,Girona,Cerdanya,Resta de municipis ABP Cerdanya,Via pública urbana,Presencial,Infraccions administratives,"Llei 11/14 Drets lesbianes, gais, bisexuals",Emetre públicament expressions vexatòries,LGTBI-fòbia,1,1
2020,8,Agost,RP  Metropolitana Nord,ABP Badalona,Barcelona,Barcelonès,Badalona,Centre religiós catòlic,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,Religiós,1,1
2020,8,Agost,RP Metropolitana Sud,ABP Cornellà de Llobregat,Barcelona,Baix Llobregat,Cornellà de Llobregat,Via pública urbana,Presencial,Delictes,De les lesions,Falta de maltractament d'obra sense lesió,"Ètnic, origen nacional i/o racial",1,1
2020,8,Agost,RP Metropolitana Sud,ABP Cornellà de Llobregat,Barcelona,Baix Llobregat,Cornellà de Llobregat,Transport públic - Tramvia - Parada,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",1,1
2020,8,Agost,RP Central,ABP Solsonès,Lleida,Solsonès,Resta de municipis ABP Solsonès,Habitatge - Primera residència - Pis/apartament,Presencial,Delictes,Delictes contra la llibertat,Amenaces,LGTBI-fòbia,1,2
2020,8,Agost,RP Camp de Tarragona,ABP Baix Penedès,Tarragona,Baix Penedès,"Vendrell, el",Via pública urbana,Presencial,Delictes,De les lesions,Lesions (lleu),Orientació política,1,2
2020,8,Agost,RP  Metropolitana Nord,ABP Rubí,Barcelona,Vallès Occidental,Sant Cugat del Vallès,Institut d'Educació,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,Religiós,1,2
2020,8,Agost,RP  Metropolitana Nord,ABP Sabadell,Barcelona,Vallès Occidental,Sabadell,Habitatge - Primera residència - Pis/apartament,Internet o xarxes socials,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",1,0
2020,8,Agost,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Transport públic - Metro - Comboi,Presencial,Delictes,De les lesions,Lesions (lleu),Orientació política,1,1
2020,9,Setembre,RP  Metropolitana Nord,ABP Arenys de Mar,Barcelona,Maresme,Pineda de Mar,Via pública urbana,Internet o xarxes socials,Delictes,Delictes contra l’honor,Injúria,"Ètnic, origen nacional i/o racial",1,1
2020,9,Setembre,RP Metropolitana Sud,ABP Cornellà de Llobregat,Barcelona,Baix Llobregat,Cornellà de Llobregat,Servei d'ocupació,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",1,1
2020,9,Setembre,RP Camp de Tarragona,ABP Baix Camp - Priorat,Tarragona,Baix Camp,Reus,Via pública urbana,Presencial,Delictes,De les lesions,Lesions,"Ètnic, origen nacional i/o racial",1,2
2020,9,Setembre,RP Metropolitana Barcelona,ABP Ciutat Vella,Barcelona,Barcelonès,Barcelona,Via pública urbana,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,Orientació política,1,5
2020,9,Setembre,RP  Metropolitana Nord,ABP Granollers,Barcelona,Vallès Oriental,Resta de municipis ABP Granollers,Parcs/Jardins,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,1
2020,9,Setembre,RP  Metropolitana Nord,ABP Badalona,Barcelona,Barcelonès,Badalona,Partit polític,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,Orientació política,1,1
2020,9,Setembre,RP Central,ABP Osona,Barcelona,Osona,Resta de municipis ABP Osona,Habitatge - Primera residència - Casa adossada,Internet o xarxes socials,Delictes,Delictes contra la llibertat,Amenaces (lleu),Orientació política,1,1
2020,9,Setembre,RP  Metropolitana Nord,ABP Granollers,Barcelona,Vallès Oriental,Resta de municipis ABP Granollers,Habitatge - Primera residència - Pis/apartament,Internet o xarxes socials,Delictes,Delictes contra la llibertat,Assetjament,LGTBI-fòbia,1,1
2020,9,Setembre,RP Girona,ABP Gironès - Pla de l'Estany,Girona,Gironès,Girona,Transport públic - Renfe - Adif - Estació,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",1,1
2020,9,Setembre,RP  Metropolitana Nord,ABP Granollers,Barcelona,Vallès Oriental,Resta de municipis ABP Granollers,Via pública urbana,Presencial,Delictes,De les lesions,Lesions (lleu),"Ètnic, origen nacional i/o racial",1,1
2020,9,Setembre,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,Lleida,Segrià,Lleida,Associacions - Altres,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys (lleu),Orientació política,1,1
2020,9,Setembre,RP Girona,ABP Selva Interior,Girona,Selva,Resta de municipis ABP Selva Interior,Via pública urbana,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,Orientació política,1,2
2020,9,Setembre,RP  Metropolitana Nord,ABP Cerdanyola,Barcelona,Vallès Occidental,Montcada i Reixac,Centre religiós islàmic,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,Religiós,1,1
2020,9,Setembre,RP  Metropolitana Nord,ABP Premià de Mar,Barcelona,Maresme,Resta de municipis ABP Premià de Mar,Via pública urbana,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,Orientació política,1,1
2020,9,Setembre,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Habitatge - Escala/portal finca/replà,Presencial,Delictes,"Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili",Entrada a domicili aliè,LGTBI-fòbia,1,1
2020,9,Setembre,RP Metropolitana Sud,ABP Garraf,Barcelona,Garraf,Vilanova i la Geltrú,Via pública urbana,Presencial,Delictes,De les lesions,Lesions (pèrdua membre/òrgan principal),Orientació política,1,1
2020,9,Setembre,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Habitatge - Primera residència - Pis/apartament,Internet o xarxes socials,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,1
2020,9,Setembre,RP Metropolitana Barcelona,ABP Barcelona,Barcelona,Barcelonès,Barcelona,Via pública urbana,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,2
2020,9,Setembre,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,Lleida,Segrià,Lleida,Habitatge - Primera residència - Pis/apartament,Presencial,Delictes,Delictes contra la llibertat,Coaccions,"Ètnic, origen nacional i/o racial",1,2
2020,9,Setembre,RP  Metropolitana Nord,ABP Terrassa,Barcelona,Vallès Occidental,Terrassa,Institut d'Educació,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,2
2020,9,Setembre,RP  Metropolitana Nord,ABP Badalona,Barcelona,Barcelonès,Badalona,Habitatge - Primera residència - Pis/apartament,Internet o xarxes socials,Delictes,Delictes contra la llibertat,Amenaces (lleu),Discapacitat psíquica/mental,1,1
2020,9,Setembre,RP Metropolitana Sud,ABP Martorell,Barcelona,Baix Llobregat,Sant Andreu de la Barca,Centre d'Atenció Primària,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,Sexisme,1,1
2020,9,Setembre,RP Girona,ABP Selva Interior,Girona,Selva,Resta de municipis ABP Selva Interior,Via Interurbana,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt (lleu),Orientació política,1,1
2020,9,Setembre,RP Central,ABP Bages,Barcelona,Bages,Manresa,Via pública urbana,Presencial,Delictes,Delictes contra la llibertat i la indemnitat sexuals,Abusos sexuals,LGTBI-fòbia,1,1
2020,9,Setembre,RP Camp de Tarragona,ABP Baix Camp - Priorat,Tarragona,Baix Camp,Reus,Institut d'Educació,Presencial,Delictes,Delictes contra la llibertat,Amenaces (lleu),LGTBI-fòbia,1,2
2020,9,Setembre,RP Metropolitana Barcelona,ABP Horta-Guinardó,Barcelona,Barcelonès,Barcelona,Via pública urbana,Presencial,Delictes,Delictes contra la llibertat,Amenaces (lleu),"Ètnic, origen nacional i/o racial",1,1
2020,9,Setembre,RP Camp de Tarragona,ABP Alt Camp - C. de Barberà,Tarragona,Conca de Barberà,Resta de municipis ABP Alt Camp - C. de Barberà,Dependències - Administració local,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt (lleu),Orientació política,1,1
2020,9,Setembre,RP Camp de Tarragona,ABP Alt Camp - C. de Barberà,Tarragona,Conca de Barberà,Resta de municipis ABP Alt Camp - C. de Barberà,Dependències - Administració local,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt (lleu),Orientació política,1,1
2020,9,Setembre,RP  Metropolitana Nord,ABP Sabadell,Barcelona,Vallès Occidental,Sabadell,Via pública urbana,Presencial,Delictes,Delictes contra la llibertat,Assetjament,"Ètnic, origen nacional i/o racial",1,3
2020,9,Setembre,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Via pública urbana,Presencial,Delictes,De les lesions,Lesions (lleu),"Ètnic, origen nacional i/o racial",1,1
2020,9,Setembre,RP Camp de Tarragona,ABP Baix Penedès,Tarragona,Baix Penedès,"Vendrell, el",Establiments - Supermercat centre comercial,Internet o xarxes socials,Delictes,Delictes contra la llibertat,Amenaces,Discapacitat física/sensorial,1,1
2020,9,Setembre,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Instal·lació esportiva,Presencial,Delictes,De les lesions,Lesions (lleu),"Ètnic, origen nacional i/o racial",1,1
2020,9,Setembre,RP Camp de Tarragona,ABP Baix Camp - Priorat,Tarragona,Baix Camp,Resta de municipis ABP Baix Camp - Priorat,Habitatge - Primera residència - Casa adossada,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,1
2020,9,Setembre,RP Girona,ABP Selva Litoral,Girona,Selva,Blanes,Habitatge - Primera residència - Pis/apartament,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,1
2020,9,Setembre,RP Metropolitana Sud,ABP Garraf,Barcelona,Garraf,Sitges,Establiments - Restauració - Bar,Presencial,Delictes,De les lesions,Lesions,"Ètnic, origen nacional i/o racial",1,2
2020,9,Setembre,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Via pública urbana,Presencial,Delictes,Delictes contra l'ordre públic,Desordres públics,Orientació política,1,1
2020,9,Setembre,RP  Metropolitana Nord,ABP Mataró,Barcelona,Maresme,Mataró,Habitatge - Primera residència - Pis/apartament,Internet o xarxes socials,Delictes,Delictes contra la llibertat,Amenaces,Orientació política,1,1
2020,9,Setembre,RP Metropolitana Sud,ABP Gavà,Barcelona,Baix Llobregat,Viladecans,Via pública urbana,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb violència i/o intimidació,LGTBI-fòbia,1,1
2020,9,Setembre,RP Camp de Tarragona,ABP Baix Penedès,Tarragona,Baix Penedès,"Vendrell, el",Via pública urbana,Internet o xarxes socials,Delictes,Delictes contra l'Administració de justícia,Trencament de condemna (resolució judicial),Discapacitat física/sensorial,1,1
2020,9,Setembre,RP Ponent,ABP Noguera,Lleida,Noguera,Resta de municipis ABP Noguera,Via pública urbana,Presencial,Delictes,De les lesions,Lesions (lleu),"Ètnic, origen nacional i/o racial",1,1
2020,10,Octubre,RP Metropolitana Barcelona,ABP Les Corts,Barcelona,Barcelonès,Barcelona,Transport públic - Autobús - Parada,Presencial,Delictes,Delictes contra l’honor,Injúria (lleu),"Ètnic, origen nacional i/o racial",1,2
2020,10,Octubre,RP Camp de Tarragona,ABP Tarragonès,Tarragona,Tarragonès,Tarragona,Centre religiós islàmic,Presencial,Delictes,Delictes contra la Constitució,Contra la llibertat de consciència i sentiments religiosos,Religiós,1,1
2020,10,Octubre,RP  Metropolitana Nord,ABP Sabadell,Barcelona,Vallès Occidental,Sant Quirze del Vallès,Pàrquing públic,Presencial,Delictes,Delictes contra la llibertat,Amenaces,LGTBI-fòbia,1,2
2020,10,Octubre,RP Central,ABP Anoia,Barcelona,Anoia,Resta de municipis ABP Anoia,Habitatge - Primera residència - Masia/casa de camp,Presencial,Delictes,Delictes contra la llibertat,Amenaces (lleu),"Ètnic, origen nacional i/o racial",1,1
2020,10,Octubre,RP Terres de l'Ebre,ABP Baix Ebre,Tarragona,Baix Ebre,Resta de municipis ABP Baix Ebre,Via pública urbana,Presencial,Delictes,Delictes contra la llibertat,Amenaces (lleu),Orientació política,1,1
2020,10,Octubre,RP Metropolitana Sud,ABP Sant Boi de Llobregat,Barcelona,Baix Llobregat,Sant Boi de Llobregat,Habitatge - Primera residència - Pis/apartament,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,1
2020,10,Octubre,RP  Metropolitana Nord,ABP Badalona,Barcelona,Barcelonès,Badalona,Via pública urbana,Internet o xarxes socials,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,Discapacitat psíquica/mental,1,2
2020,10,Octubre,RP  Metropolitana Nord,ABP Granollers,Barcelona,Vallès Oriental,Resta de municipis ABP Granollers,Habitatge - Primera residència - Pis/apartament,Presencial,Delictes,Delictes contra la llibertat,Assetjament,"Ètnic, origen nacional i/o racial",1,4
2020,10,Octubre,RP Metropolitana Sud,ABP Sant Boi de Llobregat,Barcelona,Baix Llobregat,Sant Boi de Llobregat,Via pública urbana,Presencial,Delictes,De les lesions,Falta de maltractament d'obra sense lesió,LGTBI-fòbia,1,1
2020,10,Octubre,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,Lleida,Segrià,Lleida,Habitatge - Primera residència - Pis/apartament,Presencial,Delictes,Delictes contra la llibertat,Amenaces (lleu),"Ètnic, origen nacional i/o racial",1,1
2020,10,Octubre,RP Metropolitana Barcelona,ABP Gràcia,Barcelona,Barcelonès,Barcelona,Transport públic - Tren FGC -Comboi,Presencial,Delictes,De les lesions,Lesions (lleu),LGTBI-fòbia,1,1
2020,10,Octubre,RP Girona,ABP Garrotxa,Girona,Garrotxa,Olot,Altres espais oberts,Internet o xarxes socials,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,1
2020,10,Octubre,RP  Metropolitana Nord,ABP Badalona,Barcelona,Barcelonès,Badalona,Habitatge - Primera residència - Pis/apartament,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",1,3
2020,10,Octubre,RP Girona,ABP Gironès - Pla de l'Estany,Girona,Gironès,Girona,Habitatge - Primera residència - Casa adossada,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys (lleu),Orientació política,1,1
2020,10,Octubre,RP Metropolitana Barcelona,ABP Ciutat Vella,Barcelona,Barcelonès,Barcelona,Establiments - Restauració - Restaurants Centre comercial,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,Orientació política,1,1
2020,10,Octubre,RP Metropolitana Barcelona,ABP Ciutat Vella,Barcelona,Barcelonès,Barcelona,Via pública urbana,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,Orientació política,1,0
2020,10,Octubre,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,Lleida,Segrià,Lleida,Mobiliari urbà,Internet o xarxes socials,Delictes,Delictes contra l’honor,Injúria,Orientació política,1,2
2020,10,Octubre,RP Metropolitana Sud,ABP Martorell,Barcelona,Baix Llobregat,Sant Andreu de la Barca,Via pública urbana,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,Orientació política,1,1
2020,10,Octubre,RP Central,ABP Osona,Barcelona,Osona,Vic,Habitatge - Primera residència - Pis/apartament,Presencial,Delictes,De les lesions,Lesions,"Ètnic, origen nacional i/o racial",1,2
2020,10,Octubre,RP Metropolitana Sud,ABP Sant Feliu de Llobregat,Barcelona,Baix Llobregat,Sant Feliu de Llobregat,Parcs/Jardins,Presencial,Delictes,De les lesions,Lesions,LGTBI-fòbia,1,2
2020,10,Octubre,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Via pública urbana,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",1,1
2020,10,Octubre,RP Girona,ABP Gironès - Pla de l'Estany,Girona,Gironès,Girona,Establiments - Restauració - Bar Centre comercial,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,Orientació política,1,1
2020,10,Octubre,RP Metropolitana Barcelona,ABP Horta-Guinardó,Barcelona,Barcelonès,Barcelona,Via pública urbana,Presencial,Delictes,De l’homicidi i les seves formes,Homicidi dolós (inclou temptativa i consumat),Aporofòbia,1,1
2020,10,Octubre,RP Girona,ABP Gironès - Pla de l'Estany,Girona,Gironès,Girona,Establiments - Botiga d'alimentació/Begudes,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",1,2
2020,10,Octubre,RP Camp de Tarragona,ABP Baix Camp - Priorat,Tarragona,Baix Camp,Resta de municipis ABP Baix Camp - Priorat,Via pública urbana,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,LGTBI-fòbia,1,1
2020,10,Octubre,RP  Metropolitana Nord,ABP Badalona,Barcelona,Barcelonès,Badalona,Habitatge - Primera residència - Pis/apartament,Presencial,Delictes,Delictes contra la llibertat,Amenaces,"Ètnic, origen nacional i/o racial",1,2
2020,10,Octubre,RP  Metropolitana Nord,ABP Badalona,Barcelona,Barcelonès,Badalona,Via pública urbana,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,"Ètnic, origen nacional i/o racial",1,1
2020,10,Octubre,RP Metropolitana Sud,ABP Esplugues de Llobregat,Barcelona,Baix Llobregat,Esplugues de Llobregat,Habitatge - Primera residència - Pis/apartament,Internet o xarxes socials,Delictes,Delictes contra la llibertat,Amenaces (lleu),LGTBI-fòbia,1,1
2020,10,Octubre,RP Metropolitana Sud,ABP Cornellà de Llobregat,Barcelona,Baix Llobregat,Cornellà de Llobregat,Establiments - Taller de vehicles,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",1,1
2020,10,Octubre,RP Camp de Tarragona,ABP Tarragonès,Tarragona,Tarragonès,Tarragona,Institut d'Educació,Presencial,Delictes,De les tortures i altres delictes contra la integritat moral,Tracte degradant / vexatori,"Ètnic, origen nacional i/o racial",1,2
2020,10,Octubre,RP Central,ABP Osona,Girona,Osona,Resta de municipis ABP Osona,Dependències - Administració local,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt (lleu),Orientació política,1,1
2020,10,Octubre,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,Lleida,Segrià,Lleida,Associació de veïns,Presencial,Delictes,Delictes contra la llibertat,Amenaces (lleu),Orientació política,1,3
2020,10,Octubre,RP Girona,ABP Gironès - Pla de l'Estany,Girona,Gironès,Girona,Via pública urbana,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",1,1
2020,10,Octubre,RP Central,ABP Osona,Barcelona,Osona,Resta de municipis ABP Osona,Habitatge - Primera residència - Casa adossada,Presencial,Delictes,De les tortures i altres delictes contra la integritat moral,Violència física o psíquica habitual en l'àmbit familiar,LGTBI-fòbia,1,1
2020,10,Octubre,RP Metropolitana Barcelona,ABP Sants-Montjuïc,Barcelona,Barcelonès,Barcelona,Via pública urbana,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",1,1
2020,11,Novembre,RP Terres de l'Ebre,ABP Baix Ebre,Tarragona,Baix Ebre,Tortosa,Via pública urbana,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,2
2020,11,Novembre,RP Metropolitana Sud,ABP Garraf,Barcelona,Garraf,Sitges,Via pública urbana,Presencial,Delictes,Delictes contra la llibertat,Amenaces (lleu),LGTBI-fòbia,1,1
2020,1,Gener,RP Terres de l'Ebre,ABP Baix Ebre,Tarragona,Baix Ebre,Tortosa,Via pública urbana,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,1
2020,11,Novembre,RP Central,ABP Bages,Barcelona,Bages,Manresa,Dependències - Administració local,Internet o xarxes socials,Delictes,Delictes contra l’honor,Injúria,Sexisme,1,1
2020,11,Novembre,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Habitatge - Primera residència - Pis/apartament,Internet o xarxes socials,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,1
2020,11,Novembre,RP Metropolitana Barcelona,ABP Les Corts,Barcelona,Barcelonès,Barcelona,Partit polític,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys (lleu),Orientació política,1,1
2020,11,Novembre,RP  Metropolitana Nord,ABP Badalona,Barcelona,Barcelonès,Badalona,Via pública urbana,Presencial,Delictes,Delictes contra la llibertat,Amenaces,Orientació política,1,1
2020,11,Novembre,RP Metropolitana Barcelona,ABP Ciutat Vella,Barcelona,Barcelonès,Barcelona,Parcs/Jardins,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",1,1
2020,11,Novembre,RP Girona,ABP Selva Interior,Girona,Selva,Resta de municipis ABP Selva Interior,Habitatge - Primera residència - Pis/apartament,Internet o xarxes socials,Delictes,Delictes contra l’honor,Injúria,LGTBI-fòbia,1,1
2020,11,Novembre,RP Camp de Tarragona,ABP Baix Camp - Priorat,Tarragona,Baix Camp,Cambrils,Via pública urbana,Presencial,Delictes,De les lesions,Lesions (lleu),LGTBI-fòbia,1,3
2020,11,Novembre,RP  Metropolitana Nord,ABP Rubí,Barcelona,Vallès Occidental,Rubí,Habitatge - Primera residència - Casa aïllada,Internet o xarxes socials,Delictes,Delictes contra la llibertat,Amenaces (lleu),LGTBI-fòbia,1,1
2020,11,Novembre,RP Metropolitana Barcelona,ABP Sarrià-Sant Gervasi,Barcelona,Barcelonès,Barcelona,Via pública urbana,Presencial,Delictes,De les lesions,Lesions (lleu),LGTBI-fòbia,1,1
2020,11,Novembre,RP  Metropolitana Nord,ABP Badalona,Barcelona,Barcelonès,Badalona,Hospital,Presencial,Delictes,De les lesions,Lesions (lleu),"Ètnic, origen nacional i/o racial",1,1
2020,11,Novembre,RP Metropolitana Barcelona,ABP Sants-Montjuïc,Barcelona,Barcelonès,Barcelona,Habitatge - Primera residència - Pis/apartament,Presencial,Delictes,Delictes contra la llibertat,Amenaces (lleu),LGTBI-fòbia,1,1
2020,11,Novembre,RP Camp de Tarragona,ABP Baix Penedès,Tarragona,Baix Penedès,Resta de municipis ABP Baix Penedès,Institut d'Educació,Presencial,Delictes,Delictes contra la llibertat,Amenaces (lleu),LGTBI-fòbia,1,2
2020,11,Novembre,RP Camp de Tarragona,ABP Tarragonès,Tarragona,Tarragonès,Tarragona,Via pública urbana,Internet o xarxes socials,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",1,0
2020,11,Novembre,RP Camp de Tarragona,ABP Alt Camp - C. de Barberà,Tarragona,Conca de Barberà,Resta de municipis ABP Alt Camp - C. de Barberà,Habitatge - Primera residència - Masia/casa de camp,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,Orientació política,1,1
2020,11,Novembre,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Via pública urbana,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,1
2020,11,Novembre,RP Central,ABP Anoia,Barcelona,Anoia,Resta de municipis ABP Anoia,Habitatge - Primera residència - Casa aïllada,Presencial,Delictes,Delictes contra la llibertat,Coaccions (lleu),LGTBI-fòbia,1,1
