Any,Núm. Mes,Mes,Regió Policial (RP),Àrea Bàsica Policial (ABP),Província,Comarca,Municipi,Tipus de lloc dels fets,Canal dels fets,Tipus de fet,Títol del fet (Codi Penal) o Llei de referència,Tipus de fet (Codi penal) o d'Infracció (altres lleis),Àmbit fet,Nombre fets o infraccions,Nombre víctimes
2020,3,Març,RP Central,ABP Anoia,Barcelona,Anoia,Resta de municipis ABP Anoia,Establiments - Supermercat,Internet o xarxes socials,Delictes,De les tortures i altres delictes contra la integritat moral,Tracte degradant / vexatori,Discapacitat física/sensorial,1,1
2020,3,Març,RP  Metropolitana Nord,ABP Mataró,Barcelona,Maresme,Mataró,Dependències - Policia local,Presencial,Delictes,Delictes contra la llibertat,Amenaces,Sexisme,1,0
2020,3,Març,RP Metropolitana Sud,ABP Sant Feliu de Llobregat,Barcelona,Baix Llobregat,Resta de municipis ABP Sant Feliu de Llobregat,Via pública urbana,Presencial,Delictes,De les lesions,Lesions (lleu),"Ètnic, origen nacional i/o racial",1,1
2020,3,Març,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,Lleida,Garrigues,Resta de municipis ABP Segrià - Garrigues - Pla d'Urgell,Camí/Pista Forestal,Internet o xarxes socials,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",1,0
2020,3,Març,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,Lleida,Pla d'Urgell,Resta de municipis ABP Segrià - Garrigues - Pla d'Urgell,Via pública urbana,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",1,1
2020,3,Març,RP  Metropolitana Nord,ABP Terrassa,Barcelona,Vallès Occidental,Resta de municipis ABP Terrassa,Dependències - Administració local,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt (lleu),Orientació política,1,1
2020,3,Març,RP Camp de Tarragona,ABP Baix Camp - Priorat,Tarragona,Baix Camp,Cambrils,Via pública urbana,Presencial,Delictes,Delictes contra la llibertat,Amenaces,Sexisme,1,1
2020,3,Març,RP  Metropolitana Nord,ABP Sabadell,Barcelona,Vallès Occidental,Sabadell,Institut d'Educació,Presencial,Delictes,De les lesions,Lesions (lleu),"Ètnic, origen nacional i/o racial",1,3
2020,3,Març,RP Metropolitana Sud,ABP Martorell,Barcelona,Baix Llobregat,Olesa de Montserrat,Institut d'Educació,Internet o xarxes socials,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,2
2020,3,Març,RP  Metropolitana Nord,ABP Terrassa,Barcelona,Vallès Occidental,Terrassa,Via pública urbana,Presencial,Delictes,De les lesions,Lesions (lleu),LGTBI-fòbia,1,1
